id,userid,newuser,date,time,action,productid,producte,category,price,discount,profit,age,gender,location
241,78901,no,2022-04-06,5:45,purchase,1003,Fress,Clothing,80,0.0,8.0,42,Male,"Mi, FL"
149,56789,yes,2022-05-13,5:45,browse,1009,Skirt,Clothing,45,0.05,4.5,34,Male,"Phoenix, AZ"
149,56789,yes,2022-05-13,5:45,browse,1009,Skirt,Clothing,45,0.05,4.5,34,Male,"Phoenix, AZ"
72,90123,no,2022-03-16,2:30,addtocart,1003,Sweatshirt,Clothing,40,0.1,4.0,36,Male,"Austin, TX"
198,90123,no,2022-05-18,8:00,purchase,1008,Dress,Clothing,90,0.0,9.0,38,Female,"Washington, D.C."
56,23456,yes,2022-05-13,2:30,addtocart,1013,Skirt,Clothing,45,0.05,4.5,22,Female,"Portland, OR"
223,78901,no,2022-07-31,11:15,purchase,1004,Sweater,Clothing,70,0.0,3.5,39,Male,"New York, NY"
154,12345,no,2022-08-23,8:00,addtocart,1007,Blouse,Clothing,60,0.1,6.0,43,Female,"Austin, TX"
231,67890,no,2022-07-12,11:15,addtocart,1010,Hat,Accessories,25,0.1,2.5,31,Female,"Portland, OR"
196,78901,no,2022-02-27,2:30,browse,1005,T-Shirt,Clothing,20,0.05,2.0,28,Female,"Boston, MA"
124,78901,no,2022-05-05,2:30,addtocart,1018,Purse,Accessories,90,0.1,9.0,38,Female,"Mi, FL"
21,34567,no,2022-05-16,10:00:00,addtocart,1017,Sunglasses,Accessories,25,0.0,2.5,43,Male,"Chicago, IL"
181,12345,no,2022-04-04,5:45,addtocart,1013,Necklace,Jewelry,60,0.1,6.0,26,Female,"Phoenix, AZ"
119,23456,yes,2022-04-29,11:15,browse,1003,Jacket,Clothing,100,0.05,5.0,29,Female,"San Diego, CA"
237,34567,no,2022-07-02,5:45,addtocart,1020,Necklace,Jewelry,45,0.1,4.5,36,Male,"San Diego, CA"
49,45678,no,2022-02-18,6:30,purchase,1019,Backpack,Accessories,75,0.0,11.25,41,Male,"Denver, CO"
98,89012,yes,2022-08-02,8:00,browse,1023,Scarf,Accessories,30,0.05,3.0,25,Female,"Chicago, IL"
121,45678,no,2022-07-19,5:45,addtocart,1020,Belt,Accessories,30,0.1,3.0,25,Male,"Los Angeles, CA"
100,12345,no,2022-08-03,2:30,addtocart,1020,Scarf,Accessories,30,0.1,3.0,29,Female,"San Diego, CA"
74,23456,yes,2022-08-06,8:00,browse,1019,Scarf,Accessories,30,0.05,1.5,27,Male,"Las Vegas, NV"
166,45678,no,2022-05-20,8:00,addtocart,1023,Hat,Accessories,15,0.1,0.75,36,Female,"Austin, TX"
188,89012,yes,2022-07-11,2:30,browse,1012,Bracelet,Jewelry,35,0.05,3.5,22,Male,"Los Angeles, CA"
197,89012,yes,2022-01-28,5:45,addtocart,1022,Sunglasses,Accessories,80,0.1,8.0,20,Male,"Austin, TX"
121,45678,no,2022-07-19,5:45,addtocart,1020,Belt,Accessories,30,0.1,3.0,25,Male,"Los Angeles, CA"
74,23456,yes,2022-08-06,8:00,browse,1019,Scarf,Accessories,30,0.05,1.5,27,Male,"Las Vegas, NV"
207,90123,no,2022-04-18,11:15,browse,1021,Hat,Accessories,20,0.05,2.0,44,Female,"New York, NY"
209,23456,no,2022-07-28,5:45,addtocart,1012,Backpack,Accessories,50,0.05,5.0,29,Female,"Seattle, WA"
219,34567,no,2022-04-21,11:15,addtocart,1007,Hoodie,Clothing,80,0.1,8.0,34,Male,Washington D.C.
156,34567,no,2022-02-09,2:30,purchase,1005,T-Shirt,Clothing,30,0.0,1.5,24,Male,"Boston, MA"
19,12345,no,2022-01-03,14:30:00,purchase,1001,Shoes,Footwear,80,0.1,12.0,37,Female,"New York, NY"
60,67890,no,2022-04-14,2:30,addtocart,1015,Earrings,Jewelry,40,0.1,2.0,32,Female,"Washington, D.C."
197,89012,yes,2022-01-28,5:45,addtocart,1022,Sunglasses,Accessories,80,0.1,8.0,20,Male,"Austin, TX"
74,23456,yes,2022-08-06,8:00,browse,1019,Scarf,Accessories,30,0.05,1.5,27,Male,"Las Vegas, NV"
54,90123,no,2022-02-23,9:45,purchase,1008,era,Electronics,300,0.0,30.0,36,Female,"San Francisco, CA"
114,67890,no,2022-05-29,8:00,purchase,1007,Skirt,Clothing,50,0.0,2.5,29,Male,"Dallas, TX"
161,89012,yes,2022-04-03,5:45,browse,1003,Jacket,Clothing,100,0.05,10.0,27,Female,"Los Angeles, CA"
89,89012,yes,2022-08-24,5:45,browse,1004,Jeans,Clothing,60,0.05,3.0,22,Female,"Austin, TX"
59,56789,yes,2022-05-27,11:15,browse,1001,Jeans,Clothing,70,0.05,7.0,24,Male,"Boston, MA"
34,78901,yes,2022-01-19,13:45,purchase,1001,Shoes,Footwear,80,0.1,8.0,23,Nonbinary,"Philadelphia, PA"
58,45678,no,2022-05-23,8:00,purchase,1002,T-Shirt,Clothing,20,0.0,1.0,29,Female,"New York, NY"
218,23456,yes,2022-07-19,8:00,browse,1020,Belt,Accessories,30,0.05,3.0,25,Female,"Portland, OR"
154,12345,no,2022-08-23,8:00,addtocart,1007,Blouse,Clothing,60,0.1,6.0,43,Female,"Austin, TX"
74,23456,yes,2022-08-06,8:00,browse,1019,Scarf,Accessories,30,0.05,1.5,27,Male,"Las Vegas, NV"
70,78901,no,2022-03-31,8:00,purchase,1007,Laptop,Electronics,1200,0.0,120.0,41,Male,"Seattle, WA"
16,78901,yes,2022-06-06,16:45:00,browse,1014,Backpack,Accessories,70,0.1,7.0,25,Female,"Seattle, WA"
12,34567,no,2022-06-01,13:15:00,purchase,1004,Hat,Accessories,20,0.05,1.0,35,Male,"Chicago, IL"
208,12345,no,2022-05-21,2:30,addtocart,1002,Jacket,Clothing,80,0.1,8.0,30,Male,"San Francisco, CA"
4,45678,no,2022-01-24,13:00:00,addtocart,1004,Hat,Accessories,20,0.05,1.0,19,Nonbinary,"San Francisco, CA"
76,45678,no,2022-02-17,2:30,browse,1020,Handbag,Accessories,75,0.05,3.75,29,Female,"New York, NY"
60,67890,no,2022-04-14,2:30,addtocart,1015,Earrings,Jewelry,40,0.1,2.0,32,Female,"Washington, D.C."
122,56789,yes,2022-05-06,8:00,browse,1006,Jeans,Clothing,50,0.05,5.0,31,Female,"New York, NY"
223,78901,no,2022-05-07,11:15,purchase,1019,Scarf,Accessories,20,0.0,2.0,39,Male,"New York, NY"
84,34567,no,2022-04-11,2:30,purchase,1008,Smartphone,Electronics,800,0.0,40.0,44,Female,"Portland, OR"
58,45678,no,2022-03-18,8:00,purchase,1002,T-Shirt,Clothing,20,0.0,2.0,29,Female,"New York, NY"
87,67890,no,2022-08-21,11:15,purchase,1012,Backpack,Accessories,60,0.0,6.0,36,Female,"Seattle, WA"
84,34567,no,2022-03-07,2:30,purchase,1008,Smartphone,Electronics,500,0.0,50.0,44,Female,"Portland, OR"
58,45678,no,2022-03-18,8:00,purchase,1002,T-Shirt,Clothing,20,0.0,2.0,29,Female,"New York, NY"
237,34567,no,2022-08-26,5:45,addtocart,1009,Belt,Accessories,20,0.1,2.0,36,Male,"Los Angeles, CA"
207,90123,no,2022-04-18,11:15,browse,1021,Hat,Accessories,20,0.05,2.0,44,Female,"New York, NY"
96,67890,no,2022-04-17,2:30,purchase,1018,era,Electronics,500,0.0,50.0,41,Female,"Portland, OR"
74,23456,yes,2022-08-06,8:00,browse,1019,Scarf,Accessories,30,0.05,1.5,27,Male,"Las Vegas, NV"
31,45678,no,2022-01-14,14:00:00,purchase,1007,Tablet,Electronics,65,0.05,6.5,32,Male,"Los Angeles, CA"
214,78901,no,2022-06-15,8:00,purchase,1023,Backpack,Accessories,60,0.0,6.0,42,Male,"New Orleans, LA"
243,90123,no,2022-06-16,11:15,addtocart,1004,Sweatshirt,Clothing,45,0.1,2.25,33,Male,Washington D.C.
19,12345,no,2022-02-03,14:30:00,purchase,1001,Shoes,Footwear,80,0.1,8.0,37,Female,"New York, NY"
117,90123,no,2022-01-18,5:45,purchase,1005,T-Shirt,Clothing,25,0.0,1.25,41,Male,"Chicago, IL"
177,67890,no,2022-04-27,5:45,purchase,1005,T-shirt,Clothing,25,0.0,2.5,48,Female,"Los Angeles, CA"
237,34567,no,2022-08-25,5:45,purchase,1009,Belt,Accessories,20,0.0,2.0,41,Male,"Mi, FL"
161,89012,yes,2022-04-03,5:45,browse,1003,Jacket,Clothing,100,0.05,10.0,27,Female,"Los Angeles, CA"
121,45678,no,2022-07-19,5:45,addtocart,1020,Belt,Accessories,30,0.1,3.0,25,Male,"Los Angeles, CA"
202,45678,yes,2022-07-21,8:00,browse,1003,Hoodie,Clothing,65,0.05,6.5,28,Female,"Nashville, WA"
129,34567,no,2022-08-28,5:45,purchase,1015,Watch,Accessories,60,0.0,6.0,45,Female,"San Diego, CA"
88,78901,no,2022-04-22,2:30,addtocart,1019,Backpack,Accessories,70,0.1,7.0,39,Male,"Atlanta, GA"
1,12345,no,2022-08-07,10:30:00,purchase,1001,Jeans,Clothing,60,0.1,6.0,28,Male,"New York, NY"
48,34567,no,2022-02-17,3:15,purchase,1004,Jeans,Clothing,60,0.0,3.6,42,Male,"San Diego, CA"
19,12345,no,2022-01-03,14:30:00,purchase,1001,Shoes,Footwear,80,0.1,12.0,37,Female,"New York, NY"
212,56789,yes,2022-02-28,2:30,browse,1006,Sweater,Clothing,70,0.05,3.5,27,Male,"Austin, TX"
34,78901,yes,2022-01-19,13:45,purchase,1001,Shoes,Footwear,80,0.1,8.0,23,Nonbinary,"Philadelphia, PA"
79,78901,no,2022-03-20,11:15,purchase,1015,Bracelet,Jewelry,45,0.0,2.25,35,Male,"Houston, TX"
143,89012,no,2022-05-23,11:15,purchase,1003,T-Shirt,Clothing,20,0.0,1.0,36,Male,"New York, NY"
